Jurassic Park;127;1993-06-11;63;Sci-Fi;A billionaire entrepreneur invites a group of scientists and his two grandchildren to his island theme park of genetically recreated dinosaurs, but things take a turn for the worse when the creatures break loose.
The Shawshank Redemption;142;1994-09-23;72;Crime;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
The Godfather;175;1972-03-24;67;Crime;The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Matrix;136;1999-03-31;73;Sci-Fi;A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Inception;148;2010-07-16;74;Sci-Fi;A skilled extractor is offered a chance to regain his old life as payment for a task considered to be impossible: "inception", the implantation of another person's idea into a target's subconscious.
The Silence of the Lambs;118;1991-02-14;76;Thriller;A young F.B.I. cadet must confide in an incarcerated cannibalistic killer to receive his help on catching another serial killer who skins his victims.
The Dark Knight;152;2008-07-18;48;Action;With the help of allies Lt. Jim Gordon and DA Harvey Dent, Batman has been able to keep a tight lid on crime in Gotham City. But when a vile young criminal calling himself the Joker suddenly throws the town into chaos, the Caped Crusader begins to tread a fine line between heroism and vigilantism.
Pulp Fiction;154;1994-10-14;86;Drama;The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
The Lord of the Rings: The Return of the King;201;2003-12-17;77;Fantasy;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Star Wars: Episode IV - A New Hope;121;1977-05-25;67;Fantasy;Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the evil Darth Vader.
Forrest Gump;142;1994-07-06;40;Romance;Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.
The Lion King;89;1994-06-15;81;Animation;A lion prince is born in Africa, thus making his uncle Scar the second in line to the throne. Scar plots with the hyenas to kill King Mufasa and Prince Simba, thus making himself King. The King's son, Simba, flees accusations, guilt and the Pride Land meeting new friends along the way who teach him a worry-free philosophy. But Simba must take responsibility for his actions and return to Pride Rock to overthrow the usurper, Scar.
The Green Mile;189;1999-12-10;88;Crime;The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
The Prestige;130;2006-10-20;78;Mystery;Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
Goodfellas;146;1990-09-19;73;Crime;The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
